trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",20,0,-151.52170232035175,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.95}",25,12,-26.476631798084878,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.7, 'e': 0.9024999999999999}",20,0,-72.56192320258124,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.8573749999999999}",30,0,-95.24763352720433,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.8145062499999999}",25,0,-116.97695471586304,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.7737809374999998}",25,0,-116.94056315726723,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.7350918906249998}",20,0,-154.67522186752964,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.7, 'e': 0.6983372960937497}",20,4,-22.143173395026373,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.7, 'e': 0.6634204312890623}",25,0,-117.87209950165837,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.6302494097246091}",20,0,-149.93184034743444,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.5987369392383787}",30,0,-55.863368707357154,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.5688000922764597}",20,0,-153.44016266863326,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.7, 'e': 0.5403600876626367}",20,0,-78.59975720032985,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.7, 'e': 0.5133420832795048}",25,7,-68.10988542340247,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.48767497911552954}",20,0,-50.17646696238218,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.46329123015975304}",20,0,-158.61601135714625,"{0: 7, 1: 3, 2: 7, 3: 2, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.44012666865176536}",20,8,-34.794174670678444,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.4181203352191771}",20,0,-136.23755486701202,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.3972143184582182}",25,0,-26.936408057962154,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
