trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",30,0,-102.74572903672696,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.9}",20,0,-131.29623510335625,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.81}",20,0,-159.86818604156906,"{0: 8, 1: 5, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.7290000000000001}",35,0,-267.60646641535715,"{0: 14, 1: 5, 2: 10, 3: 4, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.6561}",20,0,-93.42687423008039,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.5904900000000001}",30,0,-190.1218104984927,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.7, 'e': 0.531441}",25,0,-86.203706121341,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.4782969000000001}",30,0,-30.688945872843803,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.4304672100000001}",30,0,-118.04273768544927,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.3874204890000001}",20,0,-63.846852045466164,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.3486784401000001}",30,0,-97.2863550607232,"{0: 23, 1: 1, 2: 2, 3: 3, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.31381059609000006}",25,0,9.096954043021164,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.2824295364810001}",25,0,-64.18477569504041,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.2541865828329001}",20,0,-38.8507444185343,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.2287679245496101}",20,0,-103.2459979618093,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.20589113209464907}",20,0,-44.59980861849069,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.18530201888518416}",30,0,-80.93037410674317,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.16677181699666577}",20,9,-3.523706363027501,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.15009463529699918}",20,0,-89.28640424564213,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.7, 'e': 0.13508517176729928}",20,3,12.995935124650263,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.12157665459056935}",20,0,-33.319634323221216,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.10941898913151242}",25,6,-12.629406961065934,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.7, 'e': 0.09847709021836118}",20,9,-38.030529645034576,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.08862938119652507}",20,0,-17.195073693993137,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.7, 'e': 0.07976644307687256}",30,0,-92.92743717499883,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",1
26,False,"{'a': 0.7, 'e': 0.0717897987691853}",30,10,-15.48267397910091,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.7, 'e': 0.06461081889226677}",30,19,19.464208420061922,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.058149737003040096}",25,6,-143.4329026132996,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 2}",1
29,False,"{'a': 0.7, 'e': 0.05233476330273609}",25,0,39.07839430466655,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.047101286972462485}",25,13,20.26319182686134,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.7, 'e': 0.04239115827521624}",20,2,-17.186672062578925,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.7, 'e': 0.038152042447694615}",20,9,14.942648416624115,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.03433683820292515}",30,22,12.566871129346344,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.030903154382632636}",25,0,43.47980869852772,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.7, 'e': 0.027812838944369374}",20,0,-49.12172402073587,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.7, 'e': 0.025031555049932437}",20,8,0.3819586059935798,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.022528399544939195}",25,7,32.453444174622234,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.020275559590445275}",20,7,25.366444944488006,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.01824800363140075}",20,11,16.096213156113272,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.016423203268260675}",30,13,-33.30687402618059,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.7, 'e': 0.014780882941434608}",25,8,15.004331310343984,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.013302794647291147}",20,0,-67.61687717704758,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
43,False,"{'a': 0.7, 'e': 0.011972515182562033}",20,5,12.272108652780528,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.01077526366430583}",25,12,-0.38318448121781024,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
