trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",30,0,-94.03928796375824,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.995}",25,0,-77.46221686805892,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.990025}",20,0,-143.7762189313832,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.6, 'e': 0.985074875}",25,0,-154.04909595050904,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.980149500625}",30,0,-254.96529306807813,"{0: 14, 1: 4, 2: 7, 3: 1, 4: 4}",0
6,False,"{'a': 0.6, 'e': 0.975248753121875}",25,0,-140.85204261029378,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.9703725093562656}",25,0,-88.29170284483584,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.9655206468094842}",25,0,-71.26017718095414,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.9606930435754368}",20,0,-86.58128438128767,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.9558895783575596}",30,0,-301.4635889768613,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 6}",0
11,False,"{'a': 0.6, 'e': 0.9511101304657719}",25,0,-89.99416462433868,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.946354579813443}",30,0,-66.58159029764985,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.9416228069143757}",25,0,-77.10418996319123,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.9369146928798039}",20,0,-84.7705472075767,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.9322301194154049}",25,0,-109.2368903124106,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.9275689688183278}",25,0,-80.44068823022259,"{0: 18, 1: 5, 2: 0, 3: 0, 4: 2}",0
17,False,"{'a': 0.6, 'e': 0.9229311239742362}",20,0,-19.068260379423887,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.918316468354365}",20,0,-75.99376592014004,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.6, 'e': 0.9137248860125932}",25,0,-102.29329548283702,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.6, 'e': 0.9091562615825302}",25,0,-90.54715225972085,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.9046104802746175}",20,0,-164.70406229588292,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
22,False,"{'a': 0.6, 'e': 0.9000874278732445}",30,11,-103.79060427484107,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
23,False,"{'a': 0.6, 'e': 0.8955869907338783}",20,0,-185.48254587681365,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
24,False,"{'a': 0.6, 'e': 0.8911090557802088}",20,0,-21.556085656232682,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.6, 'e': 0.8866535105013078}",20,0,-62.65798759661061,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.6, 'e': 0.8822202429488012}",20,0,-111.95153941065507,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.6, 'e': 0.8778091417340572}",20,0,-140.92042458818386,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.6, 'e': 0.873420096025387}",20,0,-150.84453551511376,"{0: 10, 1: 2, 2: 3, 3: 4, 4: 1}",0
29,False,"{'a': 0.6, 'e': 0.86905299554526}",20,0,-210.82906408363337,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
30,False,"{'a': 0.6, 'e': 0.8647077305675337}",25,0,-149.2950569667935,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
31,False,"{'a': 0.6, 'e': 0.8603841919146961}",25,0,-177.75002785932492,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
32,False,"{'a': 0.6, 'e': 0.8560822709551226}",25,12,-27.393150098717317,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
33,False,"{'a': 0.6, 'e': 0.8518018596003469}",25,0,-158.99448998046708,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
34,False,"{'a': 0.6, 'e': 0.8475428503023452}",25,0,-261.0784714427493,"{0: 11, 1: 0, 2: 9, 3: 1, 4: 4}",0
35,False,"{'a': 0.6, 'e': 0.8433051360508335}",30,0,-88.03416278264754,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.6, 'e': 0.8390886103705792}",20,4,-51.75512916273545,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.6, 'e': 0.8348931673187264}",20,0,-113.88213291363581,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.6, 'e': 0.8307187014821328}",20,0,-143.72244133996602,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.6, 'e': 0.826565107974722}",20,0,-174.95604806745956,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
40,False,"{'a': 0.6, 'e': 0.8224322824348484}",30,0,-218.46611845738175,"{0: 19, 1: 1, 2: 4, 3: 2, 4: 4}",0
41,False,"{'a': 0.6, 'e': 0.8183201210226743}",20,0,-70.41594223971325,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.6, 'e': 0.8142285204175609}",20,0,-38.37310180969732,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
43,False,"{'a': 0.6, 'e': 0.810157377815473}",30,0,-165.9322054527151,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
44,False,"{'a': 0.6, 'e': 0.8061065909263957}",30,0,-264.7361990925388,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 5}",0
45,False,"{'a': 0.6, 'e': 0.8020760579717637}",30,10,-115.98809142303075,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
46,False,"{'a': 0.6, 'e': 0.7980656776819048}",25,0,-121.90753915605261,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.6, 'e': 0.7940753492934953}",20,0,-122.46261369925092,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.6, 'e': 0.7901049725470278}",20,6,-140.22728980345352,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 3}",1
49,False,"{'a': 0.6, 'e': 0.7861544476842928}",30,0,-173.19675582437517,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
50,False,"{'a': 0.6, 'e': 0.7822236754458712}",25,0,-112.11572192203931,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
51,False,"{'a': 0.6, 'e': 0.7783125570686419}",25,0,-162.53326426331608,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
52,False,"{'a': 0.6, 'e': 0.7744209942832987}",30,0,-131.60515530803764,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
53,False,"{'a': 0.6, 'e': 0.7705488893118821}",20,11,-1.6406345223616672,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.7666961448653228}",20,0,-81.8473481565014,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.6, 'e': 0.7628626641409961}",30,0,-52.893137963020436,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
56,False,"{'a': 0.6, 'e': 0.7590483508202912}",20,0,-144.380949185784,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
57,False,"{'a': 0.6, 'e': 0.7552531090661897}",20,0,-88.9808728182724,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
58,False,"{'a': 0.6, 'e': 0.7514768435208588}",20,10,-52.1652501113039,"{0: 5, 1: 0, 2: 4, 3: 1, 4: 0}",1
59,False,"{'a': 0.6, 'e': 0.7477194593032545}",25,11,-60.828527416078316,"{0: 7, 1: 0, 2: 7, 3: 0, 4: 0}",1
