trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-110.55588466244154,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.25}",25,0,-158.08440900942378,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.8, 'e': 0.1111111111111111}",20,0,-62.53592739135988,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.0625}",20,0,-101.48748275802602,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.04}",25,0,-77.7229413984009,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.027777777777777776}",30,0,-71.5747642285552,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.02040816326530612}",25,0,-20.72971036028493,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.015625}",25,0,-44.20776567382496,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.012345679012345678}",25,0,-54.31246534956685,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.01}",35,13,-48.96231891651772,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 1}",1
11,False,"{'a': 0.8, 'e': 0.008264462809917356}",30,7,20.573653021033117,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.006944444444444444}",25,0,-23.56946575192876,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.005917159763313609}",25,0,-125.01404348101597,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.8, 'e': 0.00510204081632653}",20,4,9.322435509361947,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.0044444444444444444}",20,0,22.26775593445214,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.00390625}",35,21,-25.839486839524263,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.8, 'e': 0.0034602076124567475}",25,0,30.97948792598637,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.0030864197530864196}",30,0,-62.6724299156417,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",1
19,False,"{'a': 0.8, 'e': 0.002770083102493075}",20,0,-9.856214909266466,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.8, 'e': 0.0025}",25,6,28.294092951410036,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,24.371531013215442,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,19,8.262875705971572,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,15,4.966820583501005,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,19,-57.154742886169416,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-62.00155843650145,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-81.0725017933485,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,25.219241166306876,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-13.539454274056721,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",35,24,21.357388572215292,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,32.42619788207119,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
