trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1073,False,"{'a': 0.6, 'e': 0.00463812617994101}",25,15,20.203162264411958,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1074,False,"{'a': 0.6, 'e': 0.004614935549041305}",25,10,23.913535068046095,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1075,False,"{'a': 0.6, 'e': 0.004591860871296098}",30,17,25.389913625579275,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1076,False,"{'a': 0.6, 'e': 0.004568901566939618}",20,5,-1.3294480062311615,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
1077,False,"{'a': 0.6, 'e': 0.00454605705910492}",20,16,6.813076781455048,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1078,False,"{'a': 0.6, 'e': 0.004523326773809395}",20,11,14.370816941167933,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1079,False,"{'a': 0.6, 'e': 0.004500710139940348}",20,10,18.551193901697687,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1080,False,"{'a': 0.6, 'e': 0.004478206589240646}",30,17,19.399162007676416,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1081,False,"{'a': 0.6, 'e': 0.004455815556294443}",20,16,7.787972838398034,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1082,False,"{'a': 0.6, 'e': 0.004433536478512971}",30,22,15.94848937985432,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1083,False,"{'a': 0.6, 'e': 0.004411368796120406}",20,10,15.681163716464397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1084,False,"{'a': 0.6, 'e': 0.0043893119521398035}",25,7,24.379890322978657,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1085,False,"{'a': 0.6, 'e': 0.004367365392379105}",20,7,24.924598054475354,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1086,False,"{'a': 0.6, 'e': 0.004345528565417209}",25,13,11.697179858715351,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1087,False,"{'a': 0.6, 'e': 0.004323800922590123}",20,0,18.09188120559788,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1088,False,"{'a': 0.6, 'e': 0.004302181917977173}",20,10,16.655004288626746,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1089,False,"{'a': 0.6, 'e': 0.004280671008387286}",25,16,15.050297035652992,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1090,False,"{'a': 0.6, 'e': 0.004259267653345351}",25,12,22.519725753293976,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1091,False,"{'a': 0.6, 'e': 0.004237971315078624}",35,22,23.99096138981756,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1092,False,"{'a': 0.6, 'e': 0.00421678145850323}",20,6,23.42989815659591,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1093,False,"{'a': 0.6, 'e': 0.004195697551210714}",20,6,22.960912915113877,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1094,False,"{'a': 0.6, 'e': 0.00417471906345466}",20,3,35.47520050750073,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1095,False,"{'a': 0.6, 'e': 0.004153845468137387}",20,8,18.212348439838163,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1096,False,"{'a': 0.6, 'e': 0.004133076240796701}",20,4,28.59787943332693,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1097,False,"{'a': 0.6, 'e': 0.004112410859592717}",20,2,28.71621255218773,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1098,False,"{'a': 0.6, 'e': 0.004091848805294753}",20,0,13.505853484291727,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1099,False,"{'a': 0.6, 'e': 0.004071389561268279}",25,11,28.830867418634952,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1100,False,"{'a': 0.6, 'e': 0.004051032613461938}",20,10,15.073919222689955,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1101,False,"{'a': 0.6, 'e': 0.004030777450394628}",25,1,41.336408054489425,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1102,False,"{'a': 0.6, 'e': 0.004010623563142655}",25,0,14.683871186642136,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1103,False,"{'a': 0.6, 'e': 0.003990570445326942}",20,16,7.990135688848137,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1104,False,"{'a': 0.6, 'e': 0.003970617593100307}",25,13,19.245980586852948,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1105,False,"{'a': 0.6, 'e': 0.003950764505134805}",20,12,15.934923648826869,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1106,False,"{'a': 0.6, 'e': 0.003931010682609131}",35,20,28.920351308761816,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1107,False,"{'a': 0.6, 'e': 0.003911355629196086}",35,15,31.051022384544357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1108,False,"{'a': 0.6, 'e': 0.0038917988510501055}",20,6,24.72565779835984,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1109,False,"{'a': 0.6, 'e': 0.003872339856794855}",20,14,10.681483129178178,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1110,False,"{'a': 0.6, 'e': 0.0038529781575108806}",35,24,18.905234637021472,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1111,False,"{'a': 0.6, 'e': 0.003833713266723326}",30,15,26.913313660310898,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1112,False,"{'a': 0.6, 'e': 0.0038145447003897093}",20,12,14.070336410022017,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1113,False,"{'a': 0.6, 'e': 0.0037954719768877607}",25,11,26.381641888353073,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1114,False,"{'a': 0.6, 'e': 0.003776494617003322}",25,7,31.301735164827335,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1115,False,"{'a': 0.6, 'e': 0.0037576121439183052}",30,12,33.97189886323487,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1116,False,"{'a': 0.6, 'e': 0.003738824083198714}",20,6,21.940713158239188,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1117,False,"{'a': 0.6, 'e': 0.0037201299627827203}",20,13,13.95321164431161,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1118,False,"{'a': 0.6, 'e': 0.0037015293129688065}",20,8,22.92020659480266,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1119,False,"{'a': 0.6, 'e': 0.0036830216664039627}",25,8,29.72406663703672,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1120,False,"{'a': 0.6, 'e': 0.0036646065580719428}",25,0,23.32977131309978,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1121,False,"{'a': 0.6, 'e': 0.003646283525281583}",20,8,6.3279879692171646,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1122,False,"{'a': 0.6, 'e': 0.0036280521076551752}",25,13,22.555669662121602,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1123,False,"{'a': 0.6, 'e': 0.003609911847116899}",25,10,24.437502220233526,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1124,False,"{'a': 0.6, 'e': 0.0035918622878813146}",25,7,26.41187351873794,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1125,False,"{'a': 0.6, 'e': 0.003573902976441908}",20,6,29.7472704970429,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1126,False,"{'a': 0.6, 'e': 0.0035560334615596986}",35,18,23.334694068951528,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1127,False,"{'a': 0.6, 'e': 0.0035382532942519}",20,12,13.530239454950909,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1128,False,"{'a': 0.6, 'e': 0.0035205620277806407}",25,19,11.016309197933525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1129,False,"{'a': 0.6, 'e': 0.0035029592176417375}",25,20,11.221929440540373,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1130,False,"{'a': 0.6, 'e': 0.0034854444215535285}",30,17,23.53963877115308,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1131,False,"{'a': 0.6, 'e': 0.003468017199445761}",20,13,15.668829946885392,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1132,False,"{'a': 0.6, 'e': 0.0034506771134485323}",25,5,37.1472566073469,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1133,False,"{'a': 0.6, 'e': 0.0034334237278812896}",25,12,26.38271587986202,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1134,False,"{'a': 0.6, 'e': 0.003416256609241883}",30,15,22.602746899505842,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1135,False,"{'a': 0.6, 'e': 0.0033991753261956737}",20,8,22.020635110663715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1136,False,"{'a': 0.6, 'e': 0.0033821794495646953}",25,14,15.205017072678412,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1137,False,"{'a': 0.6, 'e': 0.0033652685523168717}",20,10,18.973380067095178,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1138,False,"{'a': 0.6, 'e': 0.0033484422095552873}",25,15,18.154607983827123,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1139,False,"{'a': 0.6, 'e': 0.003331699998507511}",20,8,22.23022255154497,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1140,False,"{'a': 0.6, 'e': 0.003315041498514973}",25,13,19.01676675801796,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1141,False,"{'a': 0.6, 'e': 0.0032984662910223984}",20,12,13.671330359244129,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1142,False,"{'a': 0.6, 'e': 0.0032819739595672864}",25,17,7.890371327459092,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1143,False,"{'a': 0.6, 'e': 0.00326556408976945}",30,13,26.241492828216884,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1144,False,"{'a': 0.6, 'e': 0.0032492362693206027}",25,14,20.28852431253232,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1145,False,"{'a': 0.6, 'e': 0.003232990087974}",20,12,13.332204237097926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1146,False,"{'a': 0.6, 'e': 0.0032168251375341295}",25,14,20.826396023409117,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1147,False,"{'a': 0.6, 'e': 0.003200741011846459}",20,16,7.217602386893184,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1148,False,"{'a': 0.6, 'e': 0.0031847373067872267}",30,17,18.093210821442845,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1149,False,"{'a': 0.6, 'e': 0.0031688136202532905}",25,14,22.84813373693177,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1150,False,"{'a': 0.6, 'e': 0.003152969552152024}",25,9,29.212691123132682,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1151,False,"{'a': 0.6, 'e': 0.003137204704391264}",20,3,23.017412046567703,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1152,False,"{'a': 0.6, 'e': 0.0031215186808693078}",30,13,34.37587051649298,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1153,False,"{'a': 0.6, 'e': 0.003105911087464961}",20,8,18.622564406989277,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1154,False,"{'a': 0.6, 'e': 0.0030903815320276365}",25,17,16.206569047654224,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1155,False,"{'a': 0.6, 'e': 0.003074929624367498}",20,3,26.57022854948263,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1156,False,"{'a': 0.6, 'e': 0.0030595549762456606}",30,18,21.767708110986153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1157,False,"{'a': 0.6, 'e': 0.0030442572013644324}",25,15,18.247870228369514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1158,False,"{'a': 0.6, 'e': 0.00302903591535761}",20,6,26.785610544520395,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1159,False,"{'a': 0.6, 'e': 0.003013890735780822}",20,11,16.385924540292898,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1160,False,"{'a': 0.6, 'e': 0.002998821282101918}",20,6,26.842206339587026,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1161,False,"{'a': 0.6, 'e': 0.002983827175691408}",20,0,20.291498695482876,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
