trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",20,0,-175.95263550349583,"{0: 11, 1: 1, 2: 2, 3: 4, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.99998750002604164}",30,3,-104.96691752055109,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 0}",1
3,False,"{'a': 0.7, 'e': 0.99995000041666526}",30,0,-95.1931489935917,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.99988750210935917}",30,0,-165.8909385788521,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.99980000666657776}",20,8,-17.700359414869297,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.7, 'e': 0.99968751627570263}",20,5,-8.713384351401757,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.99955003374898754}",20,0,-59.80015574613386,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.99938756252348859}",25,0,-122.45870397753609,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.99920010666097792}",20,0,-169.890172369173,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.7, 'e': 0.99898767084784246}",20,0,-119.29454946924709,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.99875026039496628}",30,0,-223.15004048998688,"{0: 12, 1: 7, 2: 6, 3: 3, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.99848788123759846}",30,0,-134.71246091803468,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.99820053993520419}",25,7,-106.79602884812519,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 1}",1
14,False,"{'a': 0.7, 'e': 0.99788824367130113}",25,0,-163.36126477000843,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.7, 'e': 0.99755100025327959}",30,0,-200.20597074131314,"{0: 16, 1: 0, 2: 10, 3: 2, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.9971888181122075}",20,0,-48.114375964780045,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.99680170630261944}",20,14,2.1365187720220264,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.99638967450229043}",20,0,-163.24301320596635,"{0: 8, 1: 4, 2: 3, 3: 4, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.99595273301199427}",20,0,-47.04606196867097,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.99549089275524527}",30,4,-80.14397573456596,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.99500416527802582}",20,0,-85.80101780438898,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.9944925627484974}",20,0,-153.66375655434368,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 0.7, 'e': 0.99395609795669682}",20,16,3.4904626056722403,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.9933947843142158}",25,0,-87.39448525405844,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
25,False,"{'a': 0.7, 'e': 0.99280863585386625}",20,0,-97.43018617090468,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
26,False,"{'a': 0.7, 'e': 0.99219766722932901}",25,9,-4.201246222236831,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.99156189371478809}",20,0,-32.62174328724392,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.7, 'e': 0.99090133120454793}",30,3,-163.36369581760948,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 2}",1
29,False,"{'a': 0.7, 'e': 0.99021599621263712}",20,0,-79.82773540703037,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
30,False,"{'a': 0.7, 'e': 0.98950590587239473}",20,0,-73.8132581208447,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.98877107793604224}",25,0,-62.55271474222812,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.98801153077423987}",20,0,-185.7254981824191,"{0: 5, 1: 4, 2: 7, 3: 3, 4: 1}",0
33,False,"{'a': 0.7, 'e': 0.98722728337562693}",30,0,-184.5053716862393,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
34,False,"{'a': 0.7, 'e': 0.9864183553463477}",25,0,-155.8019635718925,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
35,False,"{'a': 0.7, 'e': 0.98558476690956076}",25,0,-112.08164349683709,"{0: 12, 1: 1, 2: 11, 3: 1, 4: 0}",0
36,False,"{'a': 0.7, 'e': 0.98472653890493345}",20,0,-164.96947905973437,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
37,False,"{'a': 0.7, 'e': 0.98384369278812145}",30,0,-174.99325681440985,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
38,False,"{'a': 0.7, 'e': 0.98293625063023149}",20,0,-132.68146118764378,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
39,False,"{'a': 0.7, 'e': 0.98200423511727031}",20,0,-139.35412931826892,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
40,False,"{'a': 0.7, 'e': 0.98104766954957723}",20,0,-122.34985245015619,"{0: 8, 1: 1, 2: 9, 3: 2, 4: 0}",0
41,False,"{'a': 0.7, 'e': 0.98006657784124163}",20,0,-45.52461414797947,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.7, 'e': 0.97906098451950507}",25,0,-171.46526549523458,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
43,False,"{'a': 0.7, 'e': 0.97803091472414827}",25,0,-90.31873863558614,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.97697639420686233}",25,0,-108.37880753778941,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.7, 'e': 0.97589744933060552}",35,0,-217.30627395435278,"{0: 20, 1: 4, 2: 7, 3: 1, 4: 3}",0
46,False,"{'a': 0.7, 'e': 0.97479410706894332}",25,0,-131.5488478204371,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
47,False,"{'a': 0.7, 'e': 0.97366639500537489}",25,0,-72.12491700504933,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.7, 'e': 0.97251434133264303}",25,0,-57.52443530548387,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.97133797485202955}",25,0,-143.07329281102182,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.7, 'e': 0.97013732497263538}",30,7,-92.32165358707297,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 1}",1
51,False,"{'a': 0.7, 'e': 0.96891242171064473}",25,0,-155.17824849345305,"{0: 10, 1: 4, 2: 10, 3: 0, 4: 1}",0
52,False,"{'a': 0.7, 'e': 0.96766329568857556}",20,0,-120.94197665671682,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.7, 'e': 0.96638997813451322}",20,0,-44.99286157332493,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.7, 'e': 0.96509250088133025}",20,0,-66.86217936182932,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
55,False,"{'a': 0.7, 'e': 0.96377089636589053}",25,0,-137.93184173933903,"{0: 10, 1: 6, 2: 8, 3: 0, 4: 1}",0
56,False,"{'a': 0.7, 'e': 0.96242519762823797}",25,0,-75.91633239284525,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.7, 'e': 0.96105543831077089}",25,0,-26.727574904407305,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.7, 'e': 0.95966165265740111}",20,0,-202.32801336327591,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
59,False,"{'a': 0.7, 'e': 0.95824387551269719}",35,0,-213.80232218112178,"{0: 16, 1: 5, 2: 11, 3: 1, 4: 2}",0
60,False,"{'a': 0.7, 'e': 0.9568021423210139}",20,0,-47.739177221581954,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.7, 'e': 0.95533648912560598}",30,0,-41.56384585906074,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.7, 'e': 0.95384695256772711}",20,0,-153.4448912185714,"{0: 7, 1: 2, 2: 9, 3: 1, 4: 1}",0
63,False,"{'a': 0.7, 'e': 0.95233356988571338}",25,11,-46.61017853141168,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.7, 'e': 0.95079637891405322}",35,0,-135.96060263514644,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0
65,False,"{'a': 0.7, 'e': 0.94923541808244083}",20,0,-164.85417653436693,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
66,False,"{'a': 0.7, 'e': 0.94765072641481574}",25,0,-126.192020129988,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
67,False,"{'a': 0.7, 'e': 0.94604234352838701}",25,0,-99.73381374047267,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.7, 'e': 0.94441030963264305}",25,0,-171.4255979123442,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
69,False,"{'a': 0.7, 'e': 0.94275466552834619}",20,0,-116.20270816117197,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
70,False,"{'a': 0.7, 'e': 0.94107545260651304}",25,0,-125.12612794770723,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
71,False,"{'a': 0.7, 'e': 0.93937271284737889}",25,15,10.453983229207132,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.93764648881934931}",20,0,-57.85371415217861,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.93589682367793481}",20,3,-105.81448462224004,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 2}",1
74,False,"{'a': 0.7, 'e': 0.93412376116467311}",20,0,-162.2794862707195,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
75,False,"{'a': 0.7, 'e': 0.93232734560603447}",25,0,-107.91788651088771,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.7, 'e': 0.93050762191231429}",20,0,-121.04487032311708,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
77,False,"{'a': 0.7, 'e': 0.92866463557651024}",20,14,-9.445341653129708,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.92679843267318474}",20,0,-57.671483351989714,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
79,False,"{'a': 0.7, 'e': 0.92490905985731309}",25,0,-274.66428847581216,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 5}",0
80,False,"{'a': 0.7, 'e': 0.92299656436311728}",20,0,-112.10955156075025,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
