trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,0,-128.9453936191354,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.25}",20,0,-71.70576906945102,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",20,8,-28.357317126397,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.9, 'e': 0.0625}",25,0,-21.25937940999723,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.04}",20,3,-91.73989181655966,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",25,16,-1.3091886728170965,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",25,0,-107.16822985454604,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.015625}",25,0,-63.51269886932406,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",25,0,-45.18192636959513,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.01}",25,0,-19.712822766870993,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",25,0,-87.17213573449902,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",25,0,-69.7140937312072,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",20,0,-14.727326070348068,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",30,10,28.726380871776954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",20,9,-33.750854584257866,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.9, 'e': 0.00390625}",20,0,-20.556565768473156,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",20,13,14.579105508227041,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",25,8,12.82121142181545,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",25,5,6.086314788714052,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': 0.0025}",30,0,-158.81552345321168,"{0: 22, 1: 2, 2: 0, 3: 3, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",30,8,-50.17195638355358,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,0,-101.88787920143375,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",35,12,-17.421101444468896,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,17.49436502923316,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,20,-24.000310264076763,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,13,-9.35086888825255,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-14.630969420391867,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-66.60062643028442,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,5,19.19009587604815,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-132.52187576761636,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
