trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",25,0,-176.4371946975729,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.99999950000004167}",20,0,-87.09706139805385,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.99999800000066663}",20,0,-107.78665869590391,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.999995500003375}",25,0,-109.54599136384577,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.99999200001066668}",20,0,-130.72622635925595,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.99998750002604164}",20,8,-51.9746992728566,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.7, 'e': 0.99998200005399995}",25,0,-90.55172106390667,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.99997550010004155}",25,0,-148.02418786771315,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.99996800017066634}",35,0,-180.3186467166711,"{0: 22, 1: 5, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.7, 'e': 0.99995950027337421}",25,0,-27.53640671169881,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.99995000041666526}",25,0,-186.9042588266144,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.99993950061003922}",30,0,-140.7955505116229,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.9999280008639958}",20,7,-126.42638637859017,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 3}",1
14,False,"{'a': 0.7, 'e': 0.99991550119003492}",25,1,-137.16163671944406,"{0: 14, 1: 3, 2: 2, 3: 4, 4: 1}",1
15,False,"{'a': 0.7, 'e': 0.99990200160065623}",20,0,-101.13999368480341,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.99988750210935917}",25,9,-92.60973278118604,"{0: 6, 1: 2, 2: 7, 3: 1, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.99987200273064336}",25,0,-142.90320120896263,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.7, 'e': 0.99985550348000818}",25,6,-83.2956351636639,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.7, 'e': 0.99983800437395276}",20,0,-148.73945611417088,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.99981950542997633}",20,0,-56.86222682076082,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.99980000666657776}",20,0,-72.15117606010087,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.99977950810325589}",20,0,-62.78973310035663,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.99975800976050921}",30,15,-38.67101874658208,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.9997355116598361}",25,0,-216.68980685265902,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
25,False,"{'a': 0.7, 'e': 0.99971201382373454}",20,0,-33.507469697271844,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.99968751627570263}",30,0,-116.08047554812853,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
27,False,"{'a': 0.7, 'e': 0.99966201904023766}",30,0,-104.29648776091862,"{0: 18, 1: 7, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.7, 'e': 0.99963552214283691}",20,0,-76.21133848476978,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.7, 'e': 0.9996080256099974}",25,0,-165.8106665884059,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
30,False,"{'a': 0.7, 'e': 0.99957952946921558}",25,0,-141.52863771762406,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.7, 'e': 0.99955003374898754}",25,0,-118.35306740421194,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.99951953847880903}",25,0,-108.159538122636,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
33,False,"{'a': 0.7, 'e': 0.99948804368917543}",25,0,-133.3496326191984,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.7, 'e': 0.99945554941158132}",20,0,-138.61707263641114,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.7, 'e': 0.99942205567852116}",25,7,-59.14975732616937,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 1}",1
36,False,"{'a': 0.7, 'e': 0.99938756252348859}",25,0,-212.53069489970588,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
37,False,"{'a': 0.7, 'e': 0.99935206998097681}",25,0,-115.97144543814554,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
38,False,"{'a': 0.7, 'e': 0.9993155780864782}",35,0,-296.79705386475126,"{0: 17, 1: 2, 2: 10, 3: 2, 4: 4}",0
39,False,"{'a': 0.7, 'e': 0.99927808687648489}",25,0,-181.78289906375213,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
40,False,"{'a': 0.7, 'e': 0.99923959638848803}",20,0,-70.01106323877487,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
41,False,"{'a': 0.7, 'e': 0.99920010666097792}",20,0,-85.81789292417999,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.7, 'e': 0.99915961773344453}",25,6,-82.47744954548388,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 1}",1
43,False,"{'a': 0.7, 'e': 0.99911812964637658}",25,0,-75.11644744525748,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.99907564244126223}",30,0,-139.2949499181345,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
45,False,"{'a': 0.7, 'e': 0.99903215616058882}",20,0,-29.622401476783267,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.7, 'e': 0.99898767084784246}",20,0,-78.87617832271184,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.7, 'e': 0.99894218654750844}",30,0,-319.2480845939281,"{0: 8, 1: 4, 2: 13, 3: 1, 4: 4}",0
48,False,"{'a': 0.7, 'e': 0.99889570330507116}",25,0,-100.28460633467955,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.7, 'e': 0.99884822116701377}",25,0,-288.89089658532725,"{0: 6, 1: 5, 2: 7, 3: 4, 4: 3}",0
50,False,"{'a': 0.7, 'e': 0.99879974018081852}",25,0,-26.485539740155676,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
51,False,"{'a': 0.7, 'e': 0.99875026039496628}",20,0,-123.85194353943415,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
52,False,"{'a': 0.7, 'e': 0.99869978185893682}",25,0,-48.70487618803272,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.7, 'e': 0.99864830462320886}",20,0,-240.79442015598227,"{0: 7, 1: 1, 2: 8, 3: 0, 4: 4}",0
54,False,"{'a': 0.7, 'e': 0.99859582873925934}",35,0,-196.12334073245626,"{0: 19, 1: 5, 2: 7, 3: 2, 4: 2}",0
55,False,"{'a': 0.7, 'e': 0.99854235425956439}",30,0,-224.4232230071826,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
