trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",25,0,-143.68048252146946,"{0: 10, 1: 2, 2: 12, 3: 1, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.9}",30,0,-241.8104593778869,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
3,False,"{'a': 0.8, 'e': 0.81}",20,0,-88.84778257016694,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.7290000000000001}",20,0,-217.1923887528123,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.8, 'e': 0.6561}",25,0,-181.42066379578804,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.5904900000000001}",30,0,-189.56298106605925,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
7,False,"{'a': 0.8, 'e': 0.531441}",20,11,-49.906286284926296,"{0: 4, 1: 1, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.4782969000000001}",25,0,-59.94614583131176,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.4304672100000001}",20,0,-45.96475669845122,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.3874204890000001}",30,0,-74.13039834640722,"{0: 24, 1: 2, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.3486784401000001}",30,0,-135.45951454100532,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.31381059609000006}",20,0,-74.89124219800487,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.8, 'e': 0.2824295364810001}",30,0,-117.17863759671712,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.2541865828329001}",35,0,-271.23394865105206,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 5}",0
15,False,"{'a': 0.8, 'e': 0.2287679245496101}",20,0,-118.10646185305113,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.20589113209464907}",25,12,-29.13864340699527,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.8, 'e': 0.18530201888518416}",20,8,7.9817793328306665,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.16677181699666577}",20,0,-12.020903963138792,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.15009463529699918}",30,0,-88.80465656341958,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.13508517176729928}",20,0,-87.961277250834,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
21,False,"{'a': 0.8, 'e': 0.12157665459056935}",20,0,2.7705762583058187,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.10941898913151242}",20,8,3.9166378084908366,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.09847709021836118}",20,12,13.035142096533564,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.08862938119652507}",25,13,19.947008434745882,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.8, 'e': 0.07976644307687256}",30,15,-12.423991903312658,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.0717897987691853}",20,0,-22.785469506131864,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.06461081889226677}",30,12,18.135878279220854,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.8, 'e': 0.058149737003040096}",25,0,30.457902848605233,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.8, 'e': 0.05233476330273609}",25,3,-25.65090208267256,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.8, 'e': 0.047101286972462485}",25,15,17.504970665568916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,3.887761965380375,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,10,15.656853526551696,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,0,17.220095598507513,"{0: 33, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-87.56132109653316,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,8,-0.6890528733151751,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,-29.93501369864848,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,13,11.783862508634833,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,23.29096909811641,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-8.356061699176806,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,7,-68.26059777308006,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
